GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stackItem,com.lucas.stackitem.controller,VendaController,17,63,0,0,4,18,2,7,2,7
stackItem,com.lucas.stackitem.controller,TagController,8,55,0,0,2,16,1,6,1,6
stackItem,com.lucas.stackitem.controller,ProdutoController,8,55,0,0,2,16,1,6,1,6
stackItem,com.lucas.stackitem.controller,UsuarioController,14,68,0,0,4,20,1,7,1,7
stackItem,com.lucas.stackitem.controller,PerfilController,0,55,0,0,0,16,0,6,0,6
stackItem,com.lucas.stackitem,StackitemApplication,8,3,0,0,3,1,1,1,1,1
stackItem,com.lucas.stackitem.security,JwtTokenProvider,0,92,0,0,0,33,0,6,0,6
stackItem,com.lucas.stackitem.security,SecurityConfig,73,10,0,0,10,3,3,3,3,3
stackItem,com.lucas.stackitem.config,CorsConfig.new WebMvcConfigurer() {...},0,51,0,0,0,7,0,2,0,2
stackItem,com.lucas.stackitem.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
stackItem,com.lucas.stackitem.dto,LoginRequest,98,17,22,0,0,3,15,5,4,5
stackItem,com.lucas.stackitem.dto,LoginResponse,107,15,22,0,1,6,17,3,6,3
stackItem,com.lucas.stackitem.model,Perfil,14,110,10,12,0,5,8,13,0,10
stackItem,com.lucas.stackitem.model,Usuario,9,222,7,9,0,22,6,32,0,30
stackItem,com.lucas.stackitem.model,Produto,9,189,6,8,0,18,5,26,0,24
stackItem,com.lucas.stackitem.model,ProdutoImagem,9,110,6,8,0,8,5,16,0,14
stackItem,com.lucas.stackitem.model,Tag,11,128,7,7,0,13,6,19,0,18
stackItem,com.lucas.stackitem.model,PerfilUsuario,21,0,0,0,4,0,1,0,1,0
stackItem,com.lucas.stackitem.model,StatusUsuario,0,21,0,0,0,4,0,1,0,1
stackItem,com.lucas.stackitem.model,Venda,11,166,7,7,0,16,6,23,0,22
stackItem,com.lucas.stackitem.infra,OpenApiConfig,0,58,0,0,0,20,0,2,0,2
stackItem,com.lucas.stackitem.infra,DbSeeder,92,3,6,0,26,1,7,1,4,1
stackItem,com.lucas.stackitem.service,PerfilService,0,59,0,2,0,13,0,9,0,8
stackItem,com.lucas.stackitem.service,VendaService,11,60,0,2,2,13,2,9,2,8
stackItem,com.lucas.stackitem.service,UsuarioService,23,153,1,13,5,28,3,16,2,10
stackItem,com.lucas.stackitem.service,ProdutoService,21,155,1,7,3,34,3,14,2,11
stackItem,com.lucas.stackitem.service,TagService,5,88,0,8,1,18,1,12,1,8
